	Bat	Pangolin	Morocco	United States	Germany 	China 	Australia 	Brazil 	Italy 	Kenya 	France	Caribbean 	Singapore 	Vietnam	Switzerland	Ghana	Taiwan 	Argentina 	Saudi Arabia 	Canada 	Finland 
241 C > T	0	0	100	88	11	0	11	100	100	20	100	50	20	78	100	33	30	100	100	100	100
3037 C > T	67	0	83	88	11	0	11	100	100	60	100	50	20	78	90	33	30	100	100	100	100
11083 G > T	0	32	0	13	0	0	56	0	0	30	22	50	70	11	0	0	40	0	0	10	0
14408 C > T	0	0	100	88	11	0	11	100	100	60	100	50	20	78	90	33	20	90	90	100	100
17747 C > T	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17858 A > G	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18060 C > T	67	58	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23403 A > G	0	0	100	88	11	11	11	100	100	60	100	50	20	78	100	33	10	90	80	100	90
26144 G > T	0	0	0	0	0	0	33	0	0	10	0	50	0	11	0	0	50	0	0	0	0
27046 C > T	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28144 T > C	33	58	0	0	0	56	33	0	0	0	0	0	0	0	0	56	30	0	0	0	0
28881 G > A	0	0	0	13	11	0	0	29	56	10	0	0	0	44	50	22	20	40	0	0	0
28882 G > A	0	0	0	13	11	0	0	29	56	10	0	0	0	44	50	22	20	40	0	0	0
28883 G > C	0	0	0	13	11	0	0	29	56	10	0	0	0	44	50	22	20	40	0	0	0
